"","Genotype","N.dosages","Inoculant","X_mean","V8.Plant.Biomass_mean","V8.Plant.N.Concentration_mean","V8.Plant.N.Content_mean","VT.Plant.Moisture_mean","VT.Plant.Biomass_mean","VT.Plant.N.Concentration_mean","VT.Plant.N.Content_mean","Grain.Oil_mean","Grain.Protein_mean","Grain.N.concentration_mean","Grain.Starch_mean","Kernel.Weight..mg.kernel._mean","Rep_mean","X_sd","V8.Plant.Biomass_sd","V8.Plant.N.Concentration_sd","V8.Plant.N.Content_sd","VT.Plant.Moisture_sd","VT.Plant.Biomass_sd","VT.Plant.N.Concentration_sd","VT.Plant.N.Content_sd","Grain.Oil_sd","Grain.Protein_sd","Grain.N.concentration_sd","Grain.Starch_sd","Kernel.Weight..mg.kernel._sd","Rep_sd","X_se","V8.Plant.Biomass_se","V8.Plant.N.Concentration_se","V8.Plant.N.Content_se","VT.Plant.Moisture_se","VT.Plant.Biomass_se","VT.Plant.N.Concentration_se","VT.Plant.N.Content_se","Grain.Oil_se","Grain.Protein_se","Grain.N.concentration_se","Grain.Starch_se","Kernel.Weight..mg.kernel._se","Rep_se"
"1","B73",0,"None",51.8333333333333,1113.40166666667,2.55666666666667,28.595,0.842166666666667,4424.49833333333,1.33666666666667,58.4233333333333,3.43833333333333,7.1,44.375,73,174.898333333333,2.83333333333333,33.2951447911954,198.194907242004,0.130792456459333,5.9897337169527,0.00934701378337846,886.882245293402,0.160332986832612,8.71628284687152,0.203117371651631,0.681175454637056,4.2573465914816,0.709929573971952,13.7944139660468,1.72240142436851,3.10266620676725,3.09720851898047,0.0407893239846307,0.581833659838995,0.00509693685198511,6.65532116980679,0.0706573697804923,0.571443333712006,0.0545479884388028,0.125739105825876,0.314347764564691,0.0415036519624833,0.529112154893583,0.543815722501309
"2","B73",0,"Proven",52.5,1070.57166666667,2.37666666666667,25.2,0.841166666666667,4077.88166666667,1.49166666666667,60.4616666666667,3.42666666666667,7.3,45.625,72.6333333333333,189.145,2.5,33.6020832687499,195.942686356666,0.29743346594939,4.26879842578682,0.0120733867107232,515.298878609945,0.205758758420308,8.69772939718561,0.257189942779003,0.632455532033676,3.95284707521047,0.736659125149934,17.608967885711,1.04880884817015,2.79713276439833,3.05404847637174,0.09637396933878,0.424608779233353,0.0065799174737923,3.99470082138304,0.0818232748931146,0.564932748680385,0.0701697567038277,0.117076762257483,0.292691905643708,0.0431313904054889,0.629089443218733,0.348755387935962
"3","B73",67,"None",56.3333333333333,1174.02666666667,2.69333333333333,31.6716666666667,0.8495,4151.465,1.66833333333333,69.53,3.58333333333333,7.8,48.75,71.45,189.856666666667,3.33333333333333,35.7975790615325,68.8165394848264,0.279690304920758,4.35223812154926,0.00760920495189873,524.411914309734,0.149052563435409,12.3898603704804,0.216302257655039,0.593295878967653,3.70809924354783,0.618869937870634,4.76402211022017,1.63299316185545,2.54330035955467,1.01356671265308,0.084122801215703,0.387843691556265,0.00413684096998526,4.03464865143773,0.0574369935430226,0.732934040012592,0.0572437298062648,0.10742410268585,0.268560256714625,0.036615675428687,0.172919795765803,0.471533062974571
"4","B73",67,"Proven",56.3333333333333,1179.29666666667,2.575,30.355,0.85,3952.90666666667,1.66166666666667,65.7683333333333,3.47666666666667,7.81666666666667,48.8541666666667,71.9333333333333,193.378333333333,4.33333333333333,33.5062183283442,85.9967389304192,0.118448300958688,2.05380378809661,0.0172162713733259,797.490624488255,0.146070759108956,14.4909149699619,0.166813268856727,0.519294393062997,3.24558995664373,0.977070451229935,11.2037893887143,1.63299316185545,2.34783306983316,1.25016310830279,0.0367146942001438,0.184723394975979,0.00931569697240444,6.48613620214559,0.0566613998417022,0.929718654380386,0.0445330293135297,0.0928131214153334,0.232032803538334,0.0575111275246148,0.403717800061807,0.415105595417792
"5","NIL 1",0,"None",51.6666666666667,1132.95,2.43666666666667,27.435,0.847333333333333,4221.87166666667,1.30666666666667,55.0866666666667,3.44,7.91666666666667,49.4791666666667,72.2,180.606666666667,3.66666666666667,32.8430611646763,146.067375960548,0.251608160969923,2.93701038472798,0.0101718565988057,355.074799974127,0.190122767354851,8.31836682688776,0.248596057893121,0.676510655249913,4.22819159531196,0.97159662411929,9.24569881981166,1.86189867250253,2.93792068862022,2.19188003483021,0.0821831547593037,0.28216892349433,0.00551746002843674,2.76461764239871,0.0840930692908516,0.558510046485801,0.0664588228180419,0.120704483513382,0.301761208783454,0.0571677093411424,0.34692087559972,0.474346695982248
"6","NIL 1",0,"Proven",52.5,1134.71,2.655,30.14,0.8465,4379.99666666667,1.45166666666667,63.445,3.39,7.55,47.1875,72.0833333333333,177.005,4.5,31.854356060043,219.519844205484,0.151624536272993,5.92179364719846,0.00628490254498827,420.507856129546,0.164974745542058,8.5960892270846,0.333286663399543,0.694982014155762,4.34363758847351,0.788458411500993,8.19582027621397,1.37840487520902,2.63840156156995,3.30197886355602,0.0464228696503335,0.560731765308531,0.00341095617775855,3.2702419589492,0.0695704830876359,0.543707760139383,0.0916571519708118,0.12675008077542,0.316875201938551,0.0463388706541781,0.307481745504507,0.362728016001966
"7","NIL 1",67,"None",55,1240.79666666667,2.56166666666667,31.5833333333333,0.8515,4259.75166666667,1.64333333333333,70.67,3.34833333333333,8.65,54.0625,71.3,177.125,2,35.1965907439911,157.056100762328,0.194465078270281,2.41770690255595,0.00557673739743948,585.65608960948,0.225270208120529,16.5413373099033,0.277446691576358,0.668580586017871,4.1786286626117,0.622896460095897,6.16896344615527,2,2.50795155015044,2.21571798426046,0.0601159109002859,0.214821473313382,0.00302100237900076,4.66663941181895,0.0893020939832748,1.05778450510981,0.0760434662884101,0.113766499213082,0.284416248032704,0.0369098438560247,0.231610401932025,0.582012895861547
"8","NIL 1",67,"Proven",57.6666666666667,1097.14666666667,2.55833333333333,27.95,0.854166666666667,4093.84,1.73,70.69,3.36333333333333,8.86666666666667,55.4166666666667,71.75,182.103333333333,3.66666666666667,34.9323155068007,105.599134024227,0.248227046605858,2.43928678100793,0.0098268340103345,310.96542650269,0.198494332412792,8.30469746589242,0.113254874803104,0.736659125149935,4.60411953218709,1.03295692068934,7.10623294486373,1.03279555898864,2.41244865049402,1.63661193592099,0.0772713778141176,0.226547213889835,0.00532708103751706,2.40250349293649,0.0754721496333136,0.488576049308731,0.0309125525646233,0.123557989684828,0.30889497421207,0.0612106862036474,0.263412618763474,0.285336662697529
"9","NIL 2",0,"None",52.3333333333333,1246.50833333333,2.60666666666667,32.4733333333333,0.833166666666667,5034.69,1.34166666666667,67.6983333333333,3.69,6.9,43.125,72.6333333333333,180.215,3.33333333333333,32.5064096243597,137.858511585853,0.199265317269882,4.20600364558409,0.00594698803316996,605.519583234101,0.192812516882765,13.852066151541,0.0802496105909555,0.433589667773576,2.70993542358485,0.85945719303911,13.8818122015823,2.25092573548455,2.82143471540822,1.95018125073187,0.0614665355933659,0.37526588522561,0.00325805972207043,4.23007127729462,0.0846598688747094,0.821658833771307,0.0209134004879108,0.0813182514639857,0.203295628659964,0.0503190723086522,0.519376480723472,0.648242498355599
"10","NIL 2",0,"Proven",54.1666666666667,1252.65666666667,2.53333333333333,31.64,0.832166666666667,4820.93666666667,1.44,69.3116666666667,3.51666666666667,7.28333333333333,45.5208333333333,72.5,186.681666666667,4.16666666666667,32.5294738147832,177.998660631665,0.178736304836669,4.37913690126262,0.0112323936303295,609.303494087033,0.173781471969828,11.5710853711597,0.142361043360418,0.762670745909837,4.76669216193648,0.829457654133108,12.0690768771546,1.72240142436851,2.61830569155712,2.56430552108849,0.0568246765990844,0.39992999385745,0.00615868527554985,4.46900997680366,0.0729540105937899,0.686472305840804,0.0381232675078873,0.141915804198573,0.354789510496431,0.0486710691516348,0.444276892633269,0.51234235695694
"11","NIL 2",67,"None",56.8333333333333,1245.63166666667,2.755,34.2783333333333,0.836,4913.015,1.53833333333333,75.725,3.63666666666667,8.45,52.8125,71.5166666666667,193.258333333333,3.83333333333333,33.677391031175,114.234729993407,0.244601717083098,3.88083195547896,0.00979795897113272,308.680904155084,0.190306769891842,11.0054600085594,0.231487940650624,0.605805249234438,3.78628280771524,1.21229809315476,8.19035632110512,1.72240142436851,2.38303494674251,1.61864330553172,0.0719992765086317,0.338160821306498,0.00535429544260916,2.19214073513774,0.0792337218828193,0.661673731088795,0.0608523435065674,0.103687214204968,0.259218035512419,0.0715019161233602,0.290178740017146,0.453184886026824
"12","NIL 2",67,"Proven",56.8333333333333,1316.13833333333,2.78333333333333,36.6783333333333,0.842666666666667,4714.7,1.63,76.5183333333333,3.66833333333333,8.6,53.75,71.0333333333333,201.366666666667,3.83333333333333,34.6029863836442,170.073981950993,0.259974357709884,5.77050922074185,0.0125804080484962,614.338824395789,0.254007873893704,14.4738183167631,0.186270412751641,0.4,2.5,0.598887858172684,4.92873885153867,1.94079021706795,2.37476688580468,2.3316655452163,0.076996607572274,0.482914263740123,0.00686277140012581,4.54654164008242,0.102759992855339,0.827003082497305,0.0478765775822443,0.0679142647744588,0.169785661936147,0.0355376380286587,0.172513828102698,0.562694359544896
